Interval,Timer
16.5847,5.004766666674986
16.6107,5.021446666675154
16.4553,5.038086666675285
16.4391,5.05475666667521
17.1891,5.071476666675415
16.408,5.088126666675322
16.583,5.104806666675489
17.1138,5.121496666675434
16.6427,5.138156666675583
16.7031,5.154796666675713
17.1279,5.171496666675899
16.4508,5.188176666676067
16.0912,5.204886666676029
16.421,5.221576666675974
16.5362,5.238226666675881
16.8644,5.254926666676067
16.5355,5.2716066666762345
16.8573,5.288296666676178
16.5126,5.304986666676123
16.4525,5.321666666676291
16.8611,5.338306666676421
16.8009,5.355006666676607
16.5077,5.371656666676514
16.6548,5.38832666667644
17.0512,5.405006666676607
16.9683,5.421686666676775
16.2992,5.438376666676719
17.1674,5.455066666676663
16.6068,5.471776666676625
16.2899,5.488456666676793
16.722,5.505136666676961
16.5696,5.52179666667711
16.8019,5.538476666677277
17.3843,5.5551866666772405
16.166,5.571866666677408
16.8999,5.588546666677575
16.7731,5.605256666677539
16.1955,5.621906666677445
16.6362,5.638546666677575
17.0885,5.655246666677762
16.4698,5.671936666677706
16.5261,5.688606666677631
16.9847,5.705316666677594
16.4582,5.721966666677501
16.5952,5.738646666677669
16.9339,5.755326666677837
16.5691,5.771966666677967
16.606,5.788636666677892
16.5392,5.805306666677818
17.0804,5.821986666677986
16.5638,5.838666666678153
16.5223,5.8553466666783205
16.0755,5.871996666678228
16.7577,5.888666666678153
16.3673,5.90534666667832
17.2509,5.922006666678469
17.0165,5.938736666678451
17.5381,5.955446666678414
15.6406,5.9721566666783765
16.3441,5.988816666678526
16.8419,6.005486666678451
16.8317,6.022176666678395
16.8412,6.038856666678563
16.6535,6.055546666678507
16.6892,6.072236666678451
16.541,6.088906666678376
16.6102,6.105536666678264
16.9208,6.122176666678395
16.982,6.138836666678544
16.7399,6.155516666678712
16.6309,6.17219666667888
16.4753,6.188866666678805
17.3829,6.205576666678768
16.6222,6.22228666667873
16.2261,6.23894666667888
16.6637,6.255626666679047
17.0274,6.272326666679233
16.334,6.28902666667942
16.7323,6.305696666679345
16.861,6.322396666679532
16.5055,6.339086666679475
16.8129,6.355766666679643
16.5332,6.372406666679773
16.6813,6.389046666679904
16.7953,6.405726666680072
15.7012,6.422436666680034
16.3939,6.439096666680183
16.7662,6.455766666680109
16.6881,6.472446666680276
16.8107,6.489126666680444
16.9547,6.505826666680631
16.805,6.522516666680574
17.2497,6.539206666680519
16.1265,6.555916666680481
16.5993,6.572616666680667
16.4841,6.589266666680574
17.0168,6.60598666668078
16.6258,6.622696666680742
16.4029,6.639386666680686
16.798,6.656036666680593
16.2476,6.6726866666805
16.761,6.689366666680668
16.5045,6.706046666680836
16.6708,6.722696666680742
17.1096,6.739396666680928
16.5279,6.756096666681114
16.4643,6.772736666681245
17.1491,6.78940666668117
16.424,6.806096666681115
17.0345,6.82281666668132
16.5032,6.839516666681506
16.4355,6.856186666681431
16.5314,6.872866666681599
16.8239,6.889546666681767
16.9369,6.906186666681897
16.6902,6.922856666681822
16.5757,6.9395666666817855
