Iteration,File,Average Queue Size (Dequeue),Interrupt Count (Dequeue Rate)
1,jitter_values_20241129_144852.csv,8.939811457577955,0
2,jitter_values_20241129_144928.csv,9.784082535003684,0
3,jitter_values_20241129_145005.csv,8.915378955114054,0
4,jitter_values_20241129_145041.csv,9.955752212389381,0
5,jitter_values_20241129_145117.csv,9.08541973490427,0
6,jitter_values_20241129_145153.csv,10.857459379615953,0
7,jitter_values_20241129_145229.csv,9.58069270449521,0
8,jitter_values_20241129_145305.csv,8.941826215022092,0
9,jitter_values_20241129_145341.csv,9.54169741697417,0
10,jitter_values_20241129_145417.csv,9.585545722713864,0
11,jitter_values_20241129_145454.csv,8.964653902798233,0
12,jitter_values_20241129_145530.csv,9.248712288447388,0
13,jitter_values_20241129_145606.csv,11.776957163958642,0
14,jitter_values_20241129_145642.csv,9.910095799557848,0
15,jitter_values_20241129_145718.csv,8.658806190125276,0
16,jitter_values_20241129_145754.csv,9.263080324244658,0
17,jitter_values_20241129_145830.csv,8.966126656848306,0
18,jitter_values_20241129_145906.csv,8.974944731024319,0
19,jitter_values_20241129_145942.csv,9.607221812822402,0
20,jitter_values_20241129_150019.csv,9.70744288872513,0
21,jitter_values_20241129_150055.csv,9.22663723325975,0
22,jitter_values_20241129_150131.csv,10.321033210332104,0
23,jitter_values_20241129_150207.csv,8.436993367722918,0
24,jitter_values_20241129_150243.csv,9.187776141384388,0
25,jitter_values_20241129_150319.csv,11.903321033210332,0
26,jitter_values_20241129_150355.csv,9.152430044182621,0
27,jitter_values_20241129_150431.csv,8.962444771723122,0
28,jitter_values_20241129_150507.csv,8.813559322033898,0
29,jitter_values_20241129_150544.csv,9.438376383763838,0
30,jitter_values_20241129_150620.csv,9.476752767527675,0
31,jitter_values_20241129_150656.csv,10.791728212703102,0
32,jitter_values_20241129_150732.csv,10.014032496307237,0
33,jitter_values_20241129_150808.csv,11.40590405904059,0
34,jitter_values_20241129_150844.csv,8.938835666912306,0
35,jitter_values_20241129_150920.csv,9.873436350257542,0
36,jitter_values_20241129_150956.csv,9.952871870397644,0
37,jitter_values_20241129_151033.csv,9.910832719233603,0
38,jitter_values_20241129_151109.csv,9.518763796909493,0
39,jitter_values_20241129_151145.csv,2.343818580833943,0
40,jitter_values_20241129_151221.csv,10.94620486366986,0
41,jitter_values_20241129_151257.csv,8.948453608247423,0
42,jitter_values_20241129_151333.csv,9.045689019896832,0
43,jitter_values_20241129_151409.csv,8.948491537895512,0
44,jitter_values_20241129_151445.csv,2.2893772893772892,4
45,jitter_values_20241129_151521.csv,8.94186902133922,0
46,jitter_values_20241129_151558.csv,9.062545989698307,0
47,jitter_values_20241129_151634.csv,9.587324981577009,0
48,jitter_values_20241129_151710.csv,9.539823008849558,0
49,jitter_values_20241129_151746.csv,8.962417096536477,0
50,jitter_values_20241129_151822.csv,9.918938835666912,0
