Interval,Timer
16.9315,3.015766666667536
15.8695,3.0324466666677035
16.4359,3.049076666667592
16.935,3.065776666667778
16.6951,3.082446666667704
16.6224,3.099136666667648
16.7574,3.1158166666678158
16.4243,3.1324866666677407
17.11,3.1491566666676665
16.64,3.165836666667834
16.7326,3.1825166666680014
16.6066,3.199206666667945
17.1795,3.2158866666681134
15.5293,3.23253666666802
17.1477,3.249226666667964
16.8562,3.265926666668151
16.8144,3.2825866666682995
16.9182,3.2992966666682624
16.8167,3.31597666666843
16.6665,3.3326866666683927
16.5908,3.349356666668318
17.057,3.3660566666685043
16.3351,3.3827466666684485
16.6445,3.3994366666683926
17.1175,3.4161466666683555
16.2402,3.4327966666682626
17.0327,3.4494866666682062
16.7989,3.4661366666681133
16.8932,3.482846666668076
16.5984,3.4995066666682253
16.5254,3.5161866666683927
15.3193,3.5328366666683
17.1755,3.5495466666682622
16.4988,3.5662366666682064
16.4622,3.5828766666683367
16.4447,3.5995466666682625
17.4378,3.616236666668207
16.4868,3.632936666668393
16.3907,3.6495966666685415
20.1336,3.6662666666684673
13.3345,3.682946666668635
16.5012,3.69961666666856
17.0382,3.716286666668486
16.675,3.7329566666684113
17.2223,3.7496666666683742
16.5231,3.7663566666683184
17.2051,3.783036666668486
16.6092,3.799696666668635
16.373,3.816396666668821
16.5831,3.833086666668765
16.4603,3.849786666668952
16.5013,3.866476666668896
16.8912,3.883146666668821
16.3737,3.899816666668747
16.6547,3.916466666668653
18.0147,3.933176666668616
15.3262,3.949826666668523
16.4381,3.9664966666684487
16.9978,3.9831466666683553
16.9441,3.9998366666682994
16.4388,4.0164966666684485
17.109,4.033166666668374
15.6959,4.049826666668523
17.0929,4.06650666666869
16.9431,4.083186666668858
16.9175,4.099836666668765
15.7895,4.116526666668709
16.883,4.133216666668654
16.5897,4.1498966666688215
16.996,4.166586666668765
16.4109,4.183266666668933
16.7136,4.199956666668877
17.3818,4.216646666668821
15.9597,4.233326666668988
16.6254,4.250006666669156
16.8785,4.266716666669119
16.88,4.283376666669268
16.7632,4.300056666669436
16.4565,4.316736666669604
16.6321,4.333386666669511
16.8343,4.350066666669678
17.0912,4.366746666669846
16.7897,4.383436666669789
16.449,4.400116666669957
16.9584,4.416816666670144
16.6836,4.433456666670274
16.6873,4.450166666670237
16.7924,4.466856666670181
16.8372,4.483536666670348
17.2328,4.500246666670312
15.5441,4.516936666670255
16.0127,4.533616666670423
16.9001,4.550316666670609
16.805,4.56704666667059
16.5551,4.583736666670535
16.8277,4.600456666670739
16.4734,4.617126666670665
16.7299,4.633786666670814
16.233,4.650466666670982
16.8178,4.667116666670888
16.6411,4.683776666671037
17.0635,4.700476666671224
16.2428,4.717126666671131
17.3926,4.733776666671037
16.4376,4.7504166666711685
17.0066,4.767086666671093
16.7175,4.783776666671038
16.3539,4.800456666671205
16.8721,4.817156666671392
16.4474,4.83383666667156
16.8799,4.850546666671522
16.5181,4.867196666671429
16.7872,4.883896666671615
16.5167,4.900556666671764
16.8121,4.9172466666717085
