Iteration,File,Average Queue Size (Dequeue),Interrupt Count (Dequeue Rate)
1,jitter_values_20241129_154758.csv,9.412633563796355,0
2,jitter_values_20241129_154856.csv,8.95519578313253,0
3,jitter_values_20241129_155204.csv,10.183599419448477,0
4,jitter_values_20241129_155240.csv,8.94767870302137,0
5,jitter_values_20241129_155316.csv,8.961708394698086,0
6,jitter_values_20241129_155353.csv,9.713126843657816,0
7,jitter_values_20241129_155429.csv,9.892488954344625,0
8,jitter_values_20241129_155505.csv,9.878408253500368,0
9,jitter_values_20241129_155541.csv,9.952837140751658,0
10,jitter_values_20241129_155617.csv,8.934462444771723,0
11,jitter_values_20241129_155653.csv,9.449852507374631,0
12,jitter_values_20241129_155729.csv,10.476752767527675,0
13,jitter_values_20241129_155805.csv,9.585724797645327,0
14,jitter_values_20241129_155841.csv,9.301914580265096,0
15,jitter_values_20241129_155918.csv,9.545253863134658,0
16,jitter_values_20241129_155954.csv,8.943994104642593,0
17,jitter_values_20241129_160030.csv,8.938880706921944,0
18,jitter_values_20241129_160106.csv,8.95139911634757,0
19,jitter_values_20241129_160142.csv,9.99779086892489,0
20,jitter_values_20241129_160218.csv,9.760677466863035,0
21,jitter_values_20241129_160254.csv,8.96980854197349,0
22,jitter_values_20241129_160330.csv,8.93740795287187,0
23,jitter_values_20241129_160407.csv,9.332106038291606,0
24,jitter_values_20241129_160443.csv,10.070162481536189,0
25,jitter_values_20241129_160519.csv,8.958057395143488,0
26,jitter_values_20241129_160555.csv,9.649006622516556,0
27,jitter_values_20241129_160631.csv,8.9860088365243,0
28,jitter_values_20241129_160707.csv,9.854826823876197,0
29,jitter_values_20241129_160743.csv,10.110619469026549,0
30,jitter_values_20241129_160819.csv,9.638643067846608,0
31,jitter_values_20241129_160855.csv,8.461708394698086,0
32,jitter_values_20241129_160932.csv,9.557763061074319,0
33,jitter_values_20241129_161008.csv,8.92120765832106,0
34,jitter_values_20241129_161044.csv,8.77098674521355,0
35,jitter_values_20241129_161120.csv,9.943215339233038,0
36,jitter_values_20241129_161156.csv,9.924889543446245,0
37,jitter_values_20241129_161232.csv,9.760853568800588,0
38,jitter_values_20241129_161308.csv,8.941133186166299,0
39,jitter_values_20241129_161344.csv,8.955114054451803,0
40,jitter_values_20241129_161420.csv,9.745575221238939,0
41,jitter_values_20241129_161457.csv,9.943298969072165,0
42,jitter_values_20241129_161533.csv,9.103829160530191,0
43,jitter_values_20241129_161609.csv,9.4966838614591,0
44,jitter_values_20241129_161645.csv,10.949815498154981,0
45,jitter_values_20241129_161721.csv,9.88880706921944,0
